Location,Batch_no,Tin_no,Sample_ID,Lab_dupe,Collection_date,TSS_Analysis_date,Dirty_weight_date,volume_mL,clean_dry_mass_g,dirty_dry_mass_1-g,dirty_dry_mass_2_g,sediment_mass_mg,TSS_mg/L,pH,EC_mS/cm,pH_EC_datetime,Sample_type,Lab_technicians,Out_of_Hold_Time,BAD_GOOD,Notes,,,,
Yampa,6,28,UYM-02-OT-ISC-4-2,FALSE,6/8/2023,6/12/2023,6/25/2023,30,1.1974,1.1976,,0.2,6.666666667,8.02,0.23,6/14/23 3:00,,Person A,FALSE,,,,,,
Yampa,6,29,UYM-OT-ISC-4-3,FALSE,6/8/2023,6/12/2023,6/25/2023,30,1.2201,1.2204,,0.3,10,8.01,0.46,6/14/23 3:00,,Person A,FALSE,,,,,,
Yampa,6,30,UYM-OT-ISC-4-4,FALSE,6/8/2023,6/12/2023,6/25/2023,30,1.2142,1.2142,,0,0,7.97,0.21,6/14/23 3:00,,Person A,FALSE,,,,,,
Yampa,8,5,MOR-02-GB-4-D,TRUE,6/1/2023,6/21/2023,6/25/2023,30,1.2145,1.2154,,0.9,30,,,,,Person A,TRUE,,,,,,
,9,10,Stock Solution,,6/21/2023,6/21/2023,6/25/2023,30,1.2071,1.21,,2.9,96.66666667,,,,,Person A,FALSE,Good,,,,,
,9,11,DI,,6/21/2023,6/21/2023,6/25/2023,30,1.2269,1.2269,,0,0,,,,,Person A,FALSE,Good,,,,,
,9,14,GU-02-IN-LC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.2239,1.2246,,0.7,23.33333333,7.94,0.202,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,15,GU-02-IN-LC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.1978,1.1988,,1,33.33333333,8.01,0.201,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,16,GU-02-OT-ISC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.2187,1.2209,,2.2,73.33333333,7.9,0.289,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,17,GU-02-OT-ISC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.2041,1.2061,,2,66.66666667,7.93,0.289,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
